nodes,10_metadata_mismatches
1,1.940885
1,0.150401
1,0.145839
1,0.14921399999999999
1,0.14959
2,0.23246
2,0.22098399999999999
2,0.30313799999999996
2,0.23163599999999998
2,0.21769
3,0.33000199999999996
3,0.344684
3,0.39368
3,0.323917
3,0.392551
4,0.488596
4,0.452548
4,0.49379399999999996
4,0.481132
4,0.467091
5,0.541944
5,0.5738219999999999
5,0.590112
5,0.573275
5,0.6139629999999999
6,0.521498
6,0.841359
6,0.8338979999999999
6,0.842714
6,0.862993
7,0.688843
7,0.852015
7,0.90157
7,0.822013
7,0.871748
8,1.449802
8,0.9692909999999999
8,1.024149
8,0.9696319999999999
8,0.977748
9,0.7914599999999999
9,1.193872
9,1.1339169999999998
9,1.2733459999999999
9,1.1944329999999999
10,0.933356
10,1.349346
10,1.3423969999999998
10,1.518973
10,1.4287349999999999
20,1.902756
20,3.481528
20,3.1943059999999996
20,3.017759
20,3.066292
30,3.724815
30,4.89964
30,4.84673
30,4.844997
30,5.12298
40,8.719028999999999
40,7.6219399999999995
40,6.553697
40,7.402067
40,7.7823139999999995
50,9.036159999999999
50,8.584189
50,9.216584
50,8.86268
50,9.639519
60,12.02798
60,11.281236
60,12.68971
60,10.942015
60,12.391967
70,14.751075
70,14.401091
70,14.790170999999999
70,14.634106
70,15.045694
80,16.631407
80,17.664483999999998
80,16.119622
80,16.306209
80,16.630897
90,19.983847
90,18.914963
90,19.641016
90,19.878981
90,19.387787
100,22.966631
100,22.171611
100,20.935261
100,20.886620999999998
100,21.979056999999997
200,44.658279
200,47.221025
200,38.63415
200,45.321497
200,43.582077
300,67.179486
300,80.58191699999999
300,57.723996
300,72.837989
300,70.129119
400,91.580984
400,90.38273199999999
400,96.614385
400,90.88859
400,92.162746
500,108.540207
500,110.944571
500,120.537138
500,116.88117
500,118.554597
600,134.931896
600,128.895391
600,129.923676
600,138.534625
600,130.556017
700,154.289482
700,149.49604499999998
700,152.28788799999998
700,159.741088
700,156.30562999999998
800,183.705802
800,181.726342
800,172.73220799999999
800,181.184653
800,197.773977
900,169.799702
900,200.981305
900,227.98220999999998
900,226.302155
900,209.296371
1000,207.216939
1000,199.14501199999998
1000,192.822085
1000,200.506714
1000,210.748811