metadata,1_nodes
1,2.094097
1,0.127681
1,0.130655
1,0.154155
1,0.12778
1,0.231958
1,0.151362
1,0.106968
1,0.334929
1,0.147862
2,0.22358699999999998
2,0.098456
2,0.11018199999999999
2,0.10678299999999999
2,0.116044
2,
2,
2,
2,
2,
3,0.124737
3,0.11478899999999999
3,0.11389099999999999
3,0.123165
3,0.146731
3,
3,
3,
3,
3,
4,0.14646599999999999
4,0.163553
4,0.12096599999999999
4,0.12096699999999999
4,0.13194799999999998
4,
4,
4,
4,
4,
5,0.193898
5,0.218129
5,0.11055
5,0.11872999999999999
5,0.158603
5,
5,
5,
5,
5,
6,0.258919
6,0.164582
6,0.164686
6,0.11756699999999999
6,0.116947
6,
6,
6,
6,
6,
7,0.133352
7,0.17416099999999998
7,0.169059
7,0.120541
7,0.16069899999999998
7,
7,
7,
7,
7,
8,0.235403
8,0.17219099999999998
8,0.126226
8,0.137548
8,0.142805
8,
8,
8,
8,
8,
9,0.15087799999999998
9,0.168103
9,0.12239499999999999
9,0.154438
9,0.130845
9,
9,
9,
9,
9,
10,0.14587999999999998
10,0.230794
10,0.120297
10,0.13580799999999998
10,0.13483499999999998
10,
10,
10,
10,
10,
20,0.164128
20,0.15295499999999998
20,0.146971
20,0.161436
20,0.172322
20,
20,
20,
20,
20,
30,0.20110499999999998
30,0.180392
30,0.196151
30,0.199183
30,0.191911
30,
30,
30,
30,
30,
40,0.276377
40,0.23876799999999998
40,0.23302099999999998
40,0.244881
40,0.21993
40,
40,
40,
40,
40,
50,0.29849899999999996
50,0.293882
50,0.23051
50,0.232734
50,0.28745899999999996
50,
50,
50,
50,
50,
60,0.29425999999999997
60,0.307201
60,0.304191
60,0.24805
60,0.32447
60,
60,
60,
60,
60,
70,0.410437
70,0.494702
70,0.519678
70,0.326667
70,0.3402
70,
70,
70,
70,
70,
80,0.355548
80,0.35153599999999996
80,0.411587
80,0.294759
80,0.360788
80,
80,
80,
80,
80,
90,0.364475
90,0.336175
90,0.33172799999999997
90,0.426635
90,0.40335499999999996
90,
90,
90,
90,
90,
100,0.4104
100,0.357246
100,0.421116
100,0.342925
100,0.37072099999999997
100,
100,
100,
100,
100,
200,0.6746519999999999
200,0.685551
200,0.7055389999999999
200,0.6492399999999999
200,0.62603
200,
200,
200,
200,
200,
300,0.9421379999999999
300,0.9341919999999999
300,1.11748
300,0.909146
300,3.403877
300,
300,
300,
300,
300,
400,1.432358
400,1.263189
400,1.221743
400,1.2587009999999998
400,1.342998
400,
400,
400,
400,
400,
500,1.5212489999999999
500,1.446829
500,1.549202
500,1.530348
500,1.532702
500,
500,
500,
500,
500,
600,1.763958
600,1.749226
600,1.72753
600,1.7840079999999998
600,1.864857
600,
600,
600,
600,
600,
700,2.3018419999999997
700,2.158019
700,2.203192
700,2.063781
700,2.08032
700,
700,
700,
700,
700,
800,2.386449
800,2.394738
800,2.433942
800,2.369329
800,2.449192
800,
800,
800,
800,
800,
900,4.925204
900,2.700434
900,2.66328
900,2.6851119999999997
900,2.802753
900,
900,
900,
900,
900,
1000,3.007201
1000,7.065436
1000,2.959578
1000,2.9982059999999997
1000,2.972577
1000,
1000,
1000,
1000,
1000,