nodes,1000_metadata_mismatches
1,520.3358059999999
1,111.863678
1,56.007908
1,58.881271999999996
1,72.933347
1,102.168976
1,164.201202
1,67.12053999999999
1,57.668285999999995
1,70.278644
2,179.31493799999998
2,132.131589
2,120.90391899999999
2,123.323084
2,127.557047
2,
2,
2,
2,
2,
3,309.245905
3,225.72713299999998
3,267.051788
3,190.589519
3,199.52613499999998
3,211.486311
3,246.24452
3,196.78475
3,200.07002799999998
3,200.36516799999998
4,283.824436
4,273.402069
4,278.091981
4,283.695222
4,273.306822
4,
4,
4,
4,
4,
5,435.070242
5,354.68868
5,390.400542
5,368.65509
5,539.479966
5,
5,
5,
5,
5,
6,481.78558799999996
6,490.269255
6,510.57271499999996
6,483.871517
6,525.5079959999999
6,
6,
6,
6,
6,
7,595.26058
7,602.211862
7,666.274292
7,583.055381
7,618.367439
7,
7,
7,
7,
7,
8,746.8121659999999
8,723.588973
8,811.594839
8,717.74074
8,816.9431099999999
8,
8,
8,
8,
8,
9,877.284046
9,842.592584
9,944.32152
9,866.858301
9,972.336683
9,
9,
9,
9,
9,
10,1011.9042489999999
10,955.311023
10,1086.9530439999999
10,1001.6770359999999
10,1022.800392
10,
10,
10,
10,
10,
20,2700.057731
20,2803.990857
20,2856.4446169999997
20,2905.835615
20,3251.2614089999997
20,
20,
20,
20,
20,
30,5405.634913
30,5510.61106
30,5693.011162
30,6445.896541
30,5349.394625999999
30,
30,
30,
30,
30,
40,9021.863089999999
40,9028.029756
40,8867.417927
40,8860.34051
40,8888.859196
40,
40,
40,
40,
40,
50,13373.953565
50,13418.157615999999
50,13323.514561
50,13327.754966999999
50,13104.239155
50,
50,
50,
50,
50,
60,18285.636601
60,18963.592816
60,18495.446389
60,18381.766867
60,18119.282162
60,
60,
60,
60,
60,
70,25306.102607999997
70,25221.695719
70,24570.835736999998
70,24608.296597999997
70,24313.314847999998
70,
70,
70,
70,
70,
80,31193.366153
80,32607.45337
80,32586.984439
80,32777.582322
80,30934.99675
80,
80,
80,
80,
80,
90,40271.372393
90,39997.556697
90,38862.742827
90,38919.067875
90,38540.822155999995
90,
90,
90,
90,
90,
100,47560.036237
100,50260.026637999996
100,47792.475094999994
100,47559.652156
100,47779.857660999995
100,
100,
100,
100,
100,
200,181473.537514
200,186684.48502999998
200,181173.53286099999
200,180765.282292
200,180720.233897
200,
200,
200,
200,
200,
300,406146.572787
300,416334.545155
300,405897.136244
300,406597.549626
300,402116.38842599996
300,
300,
300,
300,
300,
400,722950.9172769999
400,739641.089174
400,726052.1756569999
400,727248.592721
400,730289.047167
400,
400,
400,
400,
400,
500,1145379.649944
500,1157440.561086
500,1141890.129925
500,1151797.361626
500,1145867.11345
500,
500,
500,
500,
500,
600,1669245.32186
600,1690305.8332679998
600,1662678.3333979999
600,1664351.281362
600,1666817.224642
600,
600,
600,
600,
600,
700,2283217.164136
700,2325124.525746
700,2293253.3042389997
700,2291067.5258549997
700,2294548.773613
700,
700,
700,
700,
700,
800,3049733.024772
800,3092039.621595
800,3055036.0547619998
800,3005549.491174
800,3021384.1716509997
800,
800,
800,
800,
800,
900,3913499.2393989996
900,3894035.837787
900,3906293.670676
900,3847062.9111659997
900,3846050.669638
900,
900,
900,
900,
900,
1000,4846333.614757
1000,4838257.4210439995
1000,4875561.358336
1000,4779188.178991
1000,4774085.832765
1000,
1000,
1000,
1000,
1000,